x,variable,value,L1,site,,,
14/09/1997,y,0.372,TM,Sval9,,,
23/09/1997,y,-0.067,TM,As,,,
23/09/1997,y,0.416,TM,Gs2,,,
23/09/1997,y,0.258,TM,Gs4,,,
23/09/1997,y,0.303,TM,Sval1,,,
23/09/1997,y,0.425,TM,Sval3,,,
23/09/1997,y,0.394,TM,Sval6,,,
23/09/1997,y,0.411,TM,Sval7,,,
23/09/1997,y,0.408,TM,Sval8,,,
07/10/1997,y,NA,TM,As,,,
18/03/1998,y,NA,TM,As,,,
18/03/1998,y,NA,TM,Gs1,,,
18/03/1998,y,NA,TM,Gs2,,,
18/03/1998,y,NA,TM,Gs3,,,
18/03/1998,y,NA,TM,Gs4,,,
18/03/1998,y,NA,TM,Reveg,,,
18/03/1998,y,NA,TM,Sval1,,,
18/03/1998,y,NA,TM,Sval3,,,
18/03/1998,y,NA,TM,Sval6,,,
18/03/1998,y,NA,TM,Sval7,,,
18/03/1998,y,NA,TM,Sval8,,,
18/03/1998,y,NA,TM,Sval9,,,
01/04/1998,y,NA,TM,As,,,
03/05/1998,y,0.296,TM,As,,,
03/05/1998,y,NA,TM,Gs1,,,
03/05/1998,y,NA,TM,Gs2,,,
03/05/1998,y,NA,TM,Gs3,,,
03/05/1998,y,NA,TM,Gs4,,,
03/05/1998,y,0.157,TM,Reveg,,,
03/05/1998,y,0.279,TM,Sval1,,,
03/05/1998,y,0.235,TM,Sval3,,,
03/05/1998,y,0.094,TM,Sval6,,,
03/05/1998,y,0.178,TM,Sval7,,,
03/05/1998,y,0.103,TM,Sval8,,,
03/05/1998,y,0.153,TM,Sval9,,,
14/05/1998,y,NA,TM,Gs1,,,
14/05/1998,y,NA,TM,Gs2,,,
14/05/1998,y,NA,TM,Gs3,,,
14/05/1998,y,NA,TM,Gs4,,,
21/05/1998,y,NA,TM,As,,,
21/05/1998,y,NA,TM,Gs1,,,
21/05/1998,y,NA,TM,Gs2,,,
21/05/1998,y,NA,TM,Gs3,,,
21/05/1998,y,NA,TM,Gs4,,,
21/05/1998,y,NA,TM,Reveg,,,
21/05/1998,y,NA,TM,Sval1,,,
21/05/1998,y,NA,TM,Sval3,,,
21/05/1998,y,NA,TM,Sval6,,,
21/05/1998,y,NA,TM,Sval7,,,
21/05/1998,y,NA,TM,Sval8,,,
21/05/1998,y,NA,TM,Sval9,,,
04/06/1998,y,0.391,TM,As,,,
04/06/1998,y,NA,TM,Gs1,,,
04/06/1998,y,NA,TM,Gs2,,,
04/06/1998,y,NA,TM,Gs3,,,
04/06/1998,y,NA,TM,Gs4,,,
04/06/1998,y,NA,TM,Reveg,,,
04/06/1998,y,NA,TM,Sval1,,,
04/06/1998,y,NA,TM,Sval3,,,
04/06/1998,y,NA,TM,Sval6,,,
04/06/1998,y,NA,TM,Sval7,,,
04/06/1998,y,NA,TM,Sval8,,,
04/06/1998,y,NA,TM,Sval9,,,
06/06/1998,y,0.386,TM,As,,,
06/06/1998,y,NA,TM,Gs1,,,
06/06/1998,y,NA,TM,Gs2,,,
06/06/1998,y,NA,TM,Gs4,,,
06/06/1998,y,0.328,TM,Reveg,,,
06/06/1998,y,0.339,TM,Sval1,,,
06/06/1998,y,NA,TM,Sval3,,,
06/06/1998,y,NA,TM,Sval6,,,
06/06/1998,y,NA,TM,Sval7,,,
06/06/1998,y,NA,TM,Sval8,,,
06/06/1998,y,NA,TM,Sval9,,,
13/06/1998,y,0.409,TM,As,,,
13/06/1998,y,NA,TM,Gs1,,,
13/06/1998,y,NA,TM,Gs2,,,
13/06/1998,y,NA,TM,Gs3,,,
13/06/1998,y,NA,TM,Gs4,,,
13/06/1998,y,NA,TM,Reveg,,,
13/06/1998,y,0.292,TM,Sval3,,,
13/06/1998,y,0.276,TM,Sval6,,,
13/06/1998,y,0.334,TM,Sval7,,,
13/06/1998,y,0.308,TM,Sval8,,,
13/06/1998,y,NA,TM,Sval9,,,
29/06/1998,y,NA,TM,As,,,
29/06/1998,y,NA,TM,Gs1,,,
29/06/1998,y,NA,TM,Gs2,,,
29/06/1998,y,NA,TM,Gs3,,,
29/06/1998,y,NA,TM,Gs4,,,
29/06/1998,y,NA,TM,Reveg,,,
29/06/1998,y,NA,TM,Sval1,,,
29/06/1998,y,NA,TM,Sval3,,,
29/06/1998,y,NA,TM,Sval6,,,
29/06/1998,y,NA,TM,Sval7,,,
29/06/1998,y,NA,TM,Sval8,,,
29/06/1998,y,NA,TM,Sval9,,,
01/07/1998,y,NA,TM,Gs1,,,
01/07/1998,y,NA,TM,Gs2,,,
01/07/1998,y,NA,TM,Gs3,,,
01/07/1998,y,NA,TM,Gs4,,,
08/07/1998,y,NA,TM,As,,,
08/07/1998,y,NA,TM,Gs1,,,
08/07/1998,y,NA,TM,Gs2,,,
08/07/1998,y,NA,TM,Gs3,,,
08/07/1998,y,NA,TM,Gs4,,,
08/07/1998,y,NA,TM,Reveg,,,
08/07/1998,y,NA,TM,Sval1,,,
08/07/1998,y,NA,TM,Sval3,,,
08/07/1998,y,NA,TM,Sval6,,,
08/07/1998,y,NA,TM,Sval7,,,
08/07/1998,y,NA,TM,Sval8,,,
08/07/1998,y,NA,TM,Sval9,,,
22/07/1998,y,NA,TM,As,,,
18/08/1998,y,NA,TM,Gs1,,,
18/08/1998,y,NA,TM,Gs2,,,
18/08/1998,y,NA,TM,Gs3,,,
18/08/1998,y,NA,TM,Gs4,,,
17/09/1998,y,NA,TM,As,,,
17/09/1998,y,NA,TM,Gs1,,,
17/09/1998,y,NA,TM,Gs2,,,
17/09/1998,y,NA,TM,Gs3,,,
17/09/1998,y,NA,TM,Gs4,,,
17/09/1998,y,NA,TM,Reveg,,,
17/09/1998,y,NA,TM,Sval1,,,
17/09/1998,y,NA,TM,Sval3,,,
17/09/1998,y,NA,TM,Sval6,,,
17/09/1998,y,NA,TM,Sval7,,,
17/09/1998,y,NA,TM,Sval8,,,
17/09/1998,y,NA,TM,Sval9,,,
19/09/1998,y,NA,TM,Gs1,,,
19/09/1998,y,NA,TM,Gs2,,,
19/09/1998,y,NA,TM,Gs3,,,
19/09/1998,y,NA,TM,Gs4,,,
19/09/1998,y,NA,TM,Reveg,,,
05/10/1998,y,NA,TM,Gs1,,,
05/10/1998,y,NA,TM,Gs2,,,
05/10/1998,y,NA,TM,Gs3,,,
05/10/1998,y,NA,TM,Gs4,,,
05/10/1998,y,NA,TM,Reveg,,,
01/07/1999,y,0.439,ETM+,As,,,
01/07/1999,y,NA,ETM+,Gs1,,,
01/07/1999,y,NA,ETM+,Gs2,,,
01/07/1999,y,NA,ETM+,Gs3,,,
01/07/1999,y,NA,ETM+,Gs4,,,
01/07/1999,y,NA,ETM+,Reveg,,,
01/07/1999,y,0.409,ETM+,Sval1,,,
01/07/1999,y,0.432,ETM+,Sval3,,,
01/07/1999,y,0.393,ETM+,Sval6,,,
01/07/1999,y,0.373,ETM+,Sval7,,,
01/07/1999,y,NA,ETM+,Sval8,,,
01/07/1999,y,0.352,ETM+,Sval9,,,
10/07/1999,y,NA,ETM+,As,,,
10/07/1999,y,NA,ETM+,Gs1,,,
10/07/1999,y,NA,ETM+,Gs2,,,
10/07/1999,y,NA,ETM+,Gs3,,,
10/07/1999,y,NA,ETM+,Gs4,,,
10/07/1999,y,NA,ETM+,Reveg,,,
10/07/1999,y,NA,ETM+,Sval1,,,
10/07/1999,y,NA,ETM+,Sval3,,,
10/07/1999,y,NA,ETM+,Sval6,,,
10/07/1999,y,NA,ETM+,Sval7,,,
10/07/1999,y,NA,ETM+,Sval8,,,
10/07/1999,y,NA,ETM+,Sval9,,,
12/07/1999,y,NA,ETM+,As,,,
12/07/1999,y,NA,ETM+,Gs1,,,
12/07/1999,y,NA,ETM+,Gs2,,,
12/07/1999,y,NA,ETM+,Gs3,,,
12/07/1999,y,NA,ETM+,Gs4,,,
12/07/1999,y,NA,ETM+,Reveg,,,
12/07/1999,y,NA,ETM+,Sval1,,,
12/07/1999,y,NA,ETM+,Sval3,,,
12/07/1999,y,NA,ETM+,Sval6,,,
12/07/1999,y,NA,ETM+,Sval7,,,
12/07/1999,y,NA,ETM+,Sval8,,,
12/07/1999,y,NA,ETM+,Sval9,,,
26/07/1999,y,0.547,ETM+,As,,,
26/07/1999,y,NA,ETM+,Gs1,,,
26/07/1999,y,NA,ETM+,Gs2,,,
26/07/1999,y,NA,ETM+,Gs3,,,
26/07/1999,y,NA,ETM+,Gs4,,,
26/07/1999,y,NA,ETM+,Reveg,,,
26/07/1999,y,0.336,ETM+,Sval1,,,
26/07/1999,y,NA,ETM+,Sval3,,,
26/07/1999,y,NA,ETM+,Sval6,,,
26/07/1999,y,NA,ETM+,Sval7,,,
26/07/1999,y,NA,ETM+,Sval8,,,
26/07/1999,y,NA,ETM+,Sval9,,,
28/07/1999,y,NA,ETM+,Gs1,,,
28/07/1999,y,NA,ETM+,Gs2,,,
28/07/1999,y,NA,ETM+,Gs3,,,
28/07/1999,y,NA,ETM+,Gs4,,,
28/07/1999,y,NA,ETM+,Reveg,,,
04/08/1999,y,0.657,ETM+,As,,,
04/08/1999,y,0.492,ETM+,Gs1,,,
04/08/1999,y,0.455,ETM+,Gs2,,,
04/08/1999,y,0.51,ETM+,Gs3,,,
04/08/1999,y,0.467,ETM+,Gs4,,,
04/08/1999,y,0.523,ETM+,Reveg,,,
04/08/1999,y,0.537,ETM+,Sval1,,,
04/08/1999,y,0.435,ETM+,Sval3,,,
04/08/1999,y,0.437,ETM+,Sval6,,,
04/08/1999,y,0.481,ETM+,Sval7,,,
04/08/1999,y,0.519,ETM+,Sval8,,,
04/08/1999,y,0.527,ETM+,Sval9,,,
11/08/1999,y,NA,ETM+,As,,,
11/08/1999,y,NA,ETM+,Gs1,,,
11/08/1999,y,NA,ETM+,Gs2,,,
11/08/1999,y,NA,ETM+,Gs3,,,
11/08/1999,y,NA,ETM+,Gs4,,,
11/08/1999,y,NA,ETM+,Reveg,,,
11/08/1999,y,0.451,ETM+,Sval1,,,
11/08/1999,y,NA,ETM+,Sval3,,,
11/08/1999,y,NA,ETM+,Sval6,,,
11/08/1999,y,NA,ETM+,Sval7,,,
11/08/1999,y,NA,ETM+,Sval8,,,
11/08/1999,y,0.531,ETM+,Sval9,,,
13/08/1999,y,NA,ETM+,Gs1,,,
13/08/1999,y,NA,ETM+,Gs2,,,
13/08/1999,y,NA,ETM+,Gs3,,,
13/08/1999,y,NA,ETM+,Gs4,,,
13/08/1999,y,NA,ETM+,Reveg,,,
18/08/1999,y,0.606,ETM+,As,,,
18/08/1999,y,NA,ETM+,Gs1,,,
18/08/1999,y,NA,ETM+,Gs2,,,
18/08/1999,y,NA,ETM+,Gs3,,,
18/08/1999,y,NA,ETM+,Gs4,,,
18/08/1999,y,NA,ETM+,Reveg,,,
18/08/1999,y,0.492,ETM+,Sval1,,,
18/08/1999,y,0.473,ETM+,Sval3,,,
18/08/1999,y,0.477,ETM+,Sval6,,,
18/08/1999,y,0.52,ETM+,Sval7,,,
18/08/1999,y,0.54,ETM+,Sval8,,,
18/08/1999,y,0.543,ETM+,Sval9,,,
20/08/1999,y,NA,ETM+,As,,,
20/08/1999,y,NA,ETM+,Gs1,,,
20/08/1999,y,NA,ETM+,Gs2,,,
20/08/1999,y,NA,ETM+,Gs3,,,
20/08/1999,y,NA,ETM+,Gs4,,,
20/08/1999,y,NA,ETM+,Reveg,,,
20/08/1999,y,NA,ETM+,Sval1,,,
20/08/1999,y,NA,ETM+,Sval3,,,
20/08/1999,y,NA,ETM+,Sval6,,,
20/08/1999,y,NA,ETM+,Sval7,,,
20/08/1999,y,NA,ETM+,Sval8,,,
20/08/1999,y,NA,ETM+,Sval9,,,
29/08/1999,y,NA,ETM+,Gs1,,,
29/08/1999,y,NA,ETM+,Gs2,,,
29/08/1999,y,NA,ETM+,Gs3,,,
29/08/1999,y,NA,ETM+,Gs4,,,
29/08/1999,y,NA,ETM+,Reveg,,,
03/09/1999,y,NA,ETM+,As,,,
03/09/1999,y,NA,ETM+,Gs1,,,
03/09/1999,y,NA,ETM+,Gs2,,,
03/09/1999,y,NA,ETM+,Gs3,,,
03/09/1999,y,NA,ETM+,Gs4,,,
03/09/1999,y,NA,ETM+,Reveg,,,
03/09/1999,y,NA,ETM+,Sval1,,,
03/09/1999,y,NA,ETM+,Sval3,,,
03/09/1999,y,NA,ETM+,Sval6,,,
03/09/1999,y,NA,ETM+,Sval7,,,
03/09/1999,y,NA,ETM+,Sval8,,,
03/09/1999,y,NA,ETM+,Sval9,,,
05/09/1999,y,NA,ETM+,As,,,
05/09/1999,y,NA,ETM+,Gs1,,,
05/09/1999,y,NA,ETM+,Gs2,,,
05/09/1999,y,NA,ETM+,Gs3,,,
05/09/1999,y,NA,ETM+,Gs4,,,
05/09/1999,y,NA,ETM+,Reveg,,,
05/09/1999,y,NA,ETM+,Sval1,,,
05/09/1999,y,NA,ETM+,Sval3,,,
05/09/1999,y,NA,ETM+,Sval6,,,
05/09/1999,y,NA,ETM+,Sval7,,,
05/09/1999,y,NA,ETM+,Sval8,,,
05/09/1999,y,NA,ETM+,Sval9,,,
12/09/1999,y,NA,ETM+,As,,,
12/09/1999,y,NA,ETM+,Gs1,,,
12/09/1999,y,NA,ETM+,Gs2,,,
12/09/1999,y,NA,ETM+,Gs3,,,
12/09/1999,y,NA,ETM+,Gs4,,,
12/09/1999,y,NA,ETM+,Reveg,,,
12/09/1999,y,NA,ETM+,Sval1,,,
12/09/1999,y,NA,ETM+,Sval3,,,
12/09/1999,y,NA,ETM+,Sval6,,,
12/09/1999,y,NA,ETM+,Sval7,,,
12/09/1999,y,NA,ETM+,Sval8,,,
12/09/1999,y,NA,ETM+,Sval9,,,
14/09/1999,y,NA,ETM+,Gs1,,,
14/09/1999,y,NA,ETM+,Gs2,,,
14/09/1999,y,NA,ETM+,Gs3,,,
14/09/1999,y,NA,ETM+,Gs4,,,
14/09/1999,y,NA,ETM+,Reveg,,,
21/09/1999,y,0.421,ETM+,As,,,
21/09/1999,y,NA,ETM+,Gs1,,,
21/09/1999,y,NA,ETM+,Gs2,,,
21/09/1999,y,NA,ETM+,Gs3,,,
21/09/1999,y,NA,ETM+,Gs4,,,
21/09/1999,y,NA,ETM+,Reveg,,,
21/09/1999,y,NA,ETM+,Sval1,,,
21/09/1999,y,NA,ETM+,Sval3,,,
21/09/1999,y,NA,ETM+,Sval6,,,
21/09/1999,y,NA,ETM+,Sval7,,,
21/09/1999,y,NA,ETM+,Sval8,,,
21/09/1999,y,NA,ETM+,Sval9,,,
28/09/1999,y,0.375,ETM+,As,,,
28/09/1999,y,NA,ETM+,Gs1,,,
28/09/1999,y,NA,ETM+,Gs2,,,
28/09/1999,y,NA,ETM+,Gs3,,,
28/09/1999,y,NA,ETM+,Gs4,,,
28/09/1999,y,NA,ETM+,Reveg,,,
28/09/1999,y,NA,ETM+,Sval1,,,
28/09/1999,y,NA,ETM+,Sval3,,,
28/09/1999,y,NA,ETM+,Sval6,,,
28/09/1999,y,NA,ETM+,Sval7,,,
28/09/1999,y,NA,ETM+,Sval8,,,
28/09/1999,y,NA,ETM+,Sval9,,,
05/10/1999,y,NA,ETM+,As,,,
05/10/1999,y,NA,ETM+,Reveg,,,
05/10/1999,y,0.379,ETM+,Sval1,,,
05/10/1999,y,0.365,ETM+,Sval3,,,
05/10/1999,y,0.34,ETM+,Sval6,,,
05/10/1999,y,0.366,ETM+,Sval7,,,
05/10/1999,y,0.35,ETM+,Sval8,,,
05/10/1999,y,0.369,ETM+,Sval9,,,
07/10/1999,y,NA,ETM+,As,,,
07/10/1999,y,NA,ETM+,Gs1,,,
07/10/1999,y,NA,ETM+,Gs2,,,
07/10/1999,y,NA,ETM+,Gs3,,,
07/10/1999,y,NA,ETM+,Gs4,,,
07/10/1999,y,NA,ETM+,Reveg,,,
07/10/1999,y,NA,ETM+,Sval1,,,
07/10/1999,y,NA,ETM+,Sval3,,,
07/10/1999,y,NA,ETM+,Sval6,,,
07/10/1999,y,NA,ETM+,Sval7,,,
07/10/1999,y,NA,ETM+,Sval8,,,
07/10/1999,y,NA,ETM+,Sval9,,,
16/10/1999,y,NA,ETM+,Gs1,,,
16/10/1999,y,NA,ETM+,Gs2,,,
16/10/1999,y,NA,ETM+,Gs3,,,
16/10/1999,y,NA,ETM+,Gs4,,,
16/10/1999,y,NA,ETM+,Reveg,,,
21/10/1999,y,0.392,ETM+,As,,,
21/10/1999,y,NA,ETM+,Gs1,,,
21/10/1999,y,NA,ETM+,Gs2,,,
21/10/1999,y,NA,ETM+,Gs3,,,
21/10/1999,y,NA,ETM+,Gs4,,,
21/10/1999,y,NA,ETM+,Reveg,,,
21/10/1999,y,0.365,ETM+,Sval1,,,
21/10/1999,y,0.348,ETM+,Sval3,,,
21/10/1999,y,NA,ETM+,Sval6,,,
21/10/1999,y,NA,ETM+,Sval7,,,
21/10/1999,y,NA,ETM+,Sval8,,,
21/10/1999,y,0.196,ETM+,Sval9,,,
08/11/1999,y,NA,ETM+,As,,,
08/11/1999,y,0.172,ETM+,Gs1,,,
08/11/1999,y,0.125,ETM+,Gs2,,,
08/11/1999,y,0.178,ETM+,Gs3,,,
08/11/1999,y,0.162,ETM+,Gs4,,,
08/11/1999,y,0.213,ETM+,Reveg,,,
08/11/1999,y,0.158,ETM+,Sval1,,,
08/11/1999,y,0.044,ETM+,Sval3,,,
08/11/1999,y,NA,ETM+,Sval6,,,
08/11/1999,y,NA,ETM+,Sval7,,,
08/11/1999,y,0.078,ETM+,Sval8,,,
08/11/1999,y,NA,ETM+,Sval9,,,
15/11/1999,y,NA,ETM+,As,,,
15/11/1999,y,0.304,ETM+,Gs1,,,
15/11/1999,y,0.251,ETM+,Gs2,,,
15/11/1999,y,0.309,ETM+,Gs3,,,
15/11/1999,y,0.262,ETM+,Gs4,,,
15/11/1999,y,0.297,ETM+,Reveg,,,
15/11/1999,y,NA,ETM+,Sval1,,,
15/11/1999,y,0.287,ETM+,Sval3,,,
15/11/1999,y,0.239,ETM+,Sval6,,,
15/11/1999,y,0.232,ETM+,Sval7,,,
15/11/1999,y,0.2,ETM+,Sval8,,,
15/11/1999,y,0.228,ETM+,Sval9,,,
17/11/1999,y,NA,ETM+,Gs1,,,
17/11/1999,y,NA,ETM+,Gs2,,,
17/11/1999,y,NA,ETM+,Gs3,,,
17/11/1999,y,NA,ETM+,Gs4,,,
17/11/1999,y,NA,ETM+,Reveg,,,
27/01/2000,y,NA,ETM+,As,,,
27/01/2000,y,NA,ETM+,Gs1,,,
27/01/2000,y,NA,ETM+,Gs2,,,
27/01/2000,y,NA,ETM+,Gs3,,,
27/01/2000,y,NA,ETM+,Gs4,,,
27/01/2000,y,NA,ETM+,Reveg,,,
27/01/2000,y,NA,ETM+,Sval1,,,
27/01/2000,y,NA,ETM+,Sval3,,,
27/01/2000,y,NA,ETM+,Sval6,,,
27/01/2000,y,NA,ETM+,Sval7,,,
27/01/2000,y,NA,ETM+,Sval8,,,
27/01/2000,y,NA,ETM+,Sval9,,,
03/02/2000,y,NA,ETM+,As,,,
03/02/2000,y,NA,ETM+,Gs1,,,
03/02/2000,y,NA,ETM+,Gs2,,,
03/02/2000,y,NA,ETM+,Gs3,,,
03/02/2000,y,NA,ETM+,Gs4,,,
03/02/2000,y,NA,ETM+,Reveg,,,
03/02/2000,y,NA,ETM+,Sval1,,,
03/02/2000,y,NA,ETM+,Sval3,,,
03/02/2000,y,NA,ETM+,Sval6,,,
03/02/2000,y,NA,ETM+,Sval7,,,
03/02/2000,y,NA,ETM+,Sval8,,,
03/02/2000,y,NA,ETM+,Sval9,,,
19/02/2000,y,NA,ETM+,As,,,
19/02/2000,y,NA,ETM+,Gs1,,,
19/02/2000,y,NA,ETM+,Gs2,,,
19/02/2000,y,NA,ETM+,Gs3,,,
19/02/2000,y,NA,ETM+,Gs4,,,
19/02/2000,y,NA,ETM+,Reveg,,,
19/02/2000,y,NA,ETM+,Sval1,,,
19/02/2000,y,NA,ETM+,Sval3,,,
19/02/2000,y,NA,ETM+,Sval6,,,
19/02/2000,y,NA,ETM+,Sval7,,,
19/02/2000,y,NA,ETM+,Sval8,,,
19/02/2000,y,NA,ETM+,Sval9,,,
08/03/2000,y,NA,ETM+,Gs1,,,
08/03/2000,y,NA,ETM+,Gs2,,,
08/03/2000,y,NA,ETM+,Gs3,,,
08/03/2000,y,NA,ETM+,Gs4,,,
08/03/2000,y,NA,ETM+,Reveg,,,
13/03/2000,y,NA,ETM+,As,,,
22/03/2000,y,NA,ETM+,As,,,
22/03/2000,y,NA,ETM+,Gs1,,,
22/03/2000,y,NA,ETM+,Gs2,,,
22/03/2000,y,NA,ETM+,Gs3,,,
22/03/2000,y,NA,ETM+,Gs4,,,
22/03/2000,y,NA,ETM+,Reveg,,,
22/03/2000,y,NA,ETM+,Sval1,,,
22/03/2000,y,NA,ETM+,Sval3,,,
22/03/2000,y,NA,ETM+,Sval6,,,
22/03/2000,y,NA,ETM+,Sval7,,,
22/03/2000,y,NA,ETM+,Sval8,,,
22/03/2000,y,NA,ETM+,Sval9,,,
29/03/2000,y,NA,ETM+,As,,,
29/03/2000,y,NA,ETM+,Reveg,,,
29/03/2000,y,0.173,ETM+,Sval1,,,
29/03/2000,y,NA,ETM+,Sval3,,,
29/03/2000,y,NA,ETM+,Sval6,,,
29/03/2000,y,NA,ETM+,Sval7,,,
29/03/2000,y,0.114,ETM+,Sval8,,,
29/03/2000,y,NA,ETM+,Sval9,,,
31/03/2000,y,0.213,ETM+,As,,,
31/03/2000,y,NA,ETM+,Gs1,,,
31/03/2000,y,NA,ETM+,Gs2,,,
31/03/2000,y,NA,ETM+,Gs3,,,
31/03/2000,y,NA,ETM+,Gs4,,,
31/03/2000,y,NA,ETM+,Reveg,,,
31/03/2000,y,NA,ETM+,Sval1,,,
31/03/2000,y,NA,ETM+,Sval3,,,
31/03/2000,y,NA,ETM+,Sval6,,,
31/03/2000,y,NA,ETM+,Sval7,,,
31/03/2000,y,NA,ETM+,Sval8,,,
31/03/2000,y,NA,ETM+,Sval9,,,
07/04/2000,y,0.236,ETM+,As,,,
07/04/2000,y,0.033,ETM+,Gs1,,,
07/04/2000,y,NA,ETM+,Gs2,,,
07/04/2000,y,NA,ETM+,Gs3,,,
07/04/2000,y,NA,ETM+,Gs4,,,
07/04/2000,y,NA,ETM+,Reveg,,,
07/04/2000,y,0.161,ETM+,Sval1,,,
07/04/2000,y,NA,ETM+,Sval3,,,
07/04/2000,y,NA,ETM+,Sval6,,,
07/04/2000,y,NA,ETM+,Sval7,,,
07/04/2000,y,NA,ETM+,Sval8,,,
07/04/2000,y,NA,ETM+,Sval9,,,
09/04/2000,y,0.187,ETM+,Gs1,,,
09/04/2000,y,NA,ETM+,Gs2,,,
09/04/2000,y,0.122,ETM+,Gs3,,,
09/04/2000,y,NA,ETM+,Gs4,,,
09/04/2000,y,NA,ETM+,Reveg,,,
16/04/2000,y,NA,ETM+,As,,,
16/04/2000,y,NA,ETM+,Gs1,,,
16/04/2000,y,NA,ETM+,Gs2,,,
16/04/2000,y,NA,ETM+,Gs3,,,
16/04/2000,y,NA,ETM+,Gs4,,,
16/04/2000,y,NA,ETM+,Reveg,,,
16/04/2000,y,NA,ETM+,Sval1,,,
16/04/2000,y,NA,ETM+,Sval3,,,
16/04/2000,y,NA,ETM+,Sval6,,,
16/04/2000,y,NA,ETM+,Sval7,,,
16/04/2000,y,NA,ETM+,Sval8,,,
16/04/2000,y,NA,ETM+,Sval9,,,
23/04/2000,y,NA,ETM+,As,,,
23/04/2000,y,NA,ETM+,Gs1,,,
23/04/2000,y,NA,ETM+,Gs2,,,
23/04/2000,y,NA,ETM+,Gs3,,,
23/04/2000,y,NA,ETM+,Gs4,,,
23/04/2000,y,0.175,ETM+,Reveg,,,
23/04/2000,y,0.204,ETM+,Sval1,,,
23/04/2000,y,NA,ETM+,Sval3,,,
23/04/2000,y,NA,ETM+,Sval6,,,
23/04/2000,y,NA,ETM+,Sval7,,,
23/04/2000,y,NA,ETM+,Sval8,,,
23/04/2000,y,NA,ETM+,Sval9,,,
30/04/2000,y,0.126,ETM+,As,,,
30/04/2000,y,NA,ETM+,Reveg,,,
30/04/2000,y,NA,ETM+,Sval1,,,
30/04/2000,y,NA,ETM+,Sval3,,,
30/04/2000,y,NA,ETM+,Sval6,,,
30/04/2000,y,NA,ETM+,Sval7,,,
30/04/2000,y,NA,ETM+,Sval8,,,
30/04/2000,y,NA,ETM+,Sval9,,,
02/05/2000,y,0.323,ETM+,As,,,
02/05/2000,y,0.264,ETM+,Gs1,,,
02/05/2000,y,0.23,ETM+,Gs2,,,
02/05/2000,y,0.267,ETM+,Gs3,,,
02/05/2000,y,0.216,ETM+,Gs4,,,
02/05/2000,y,0.247,ETM+,Reveg,,,
02/05/2000,y,0.268,ETM+,Sval1,,,
02/05/2000,y,0.269,ETM+,Sval3,,,
02/05/2000,y,0.157,ETM+,Sval6,,,
02/05/2000,y,0.194,ETM+,Sval7,,,
02/05/2000,y,0.172,ETM+,Sval8,,,
02/05/2000,y,0.136,ETM+,Sval9,,,
09/05/2000,y,NA,ETM+,As,,,
09/05/2000,y,NA,ETM+,Gs1,,,
09/05/2000,y,NA,ETM+,Gs2,,,
09/05/2000,y,NA,ETM+,Gs3,,,
09/05/2000,y,NA,ETM+,Gs4,,,
09/05/2000,y,NA,ETM+,Reveg,,,
09/05/2000,y,NA,ETM+,Sval1,,,
09/05/2000,y,NA,ETM+,Sval3,,,
09/05/2000,y,NA,ETM+,Sval6,,,
09/05/2000,y,NA,ETM+,Sval7,,,
09/05/2000,y,NA,ETM+,Sval8,,,
09/05/2000,y,NA,ETM+,Sval9,,,
11/05/2000,y,0.332,ETM+,Gs1,,,
11/05/2000,y,0.332,ETM+,Gs2,,,
11/05/2000,y,0.353,ETM+,Gs3,,,
11/05/2000,y,0.304,ETM+,Gs4,,,
11/05/2000,y,NA,ETM+,Reveg,,,
16/05/2000,y,NA,ETM+,As,,,
16/05/2000,y,NA,ETM+,Reveg,,,
16/05/2000,y,0.286,ETM+,Sval1,,,
16/05/2000,y,0.333,ETM+,Sval3,,,
16/05/2000,y,NA,ETM+,Sval6,,,
16/05/2000,y,NA,ETM+,Sval7,,,
16/05/2000,y,NA,ETM+,Sval8,,,
16/05/2000,y,0.323,ETM+,Sval9,,,
25/05/2000,y,NA,ETM+,As,,,
25/05/2000,y,NA,ETM+,Gs1,,,
25/05/2000,y,NA,ETM+,Gs2,,,
25/05/2000,y,NA,ETM+,Gs3,,,
25/05/2000,y,NA,ETM+,Gs4,,,
25/05/2000,y,NA,ETM+,Reveg,,,
25/05/2000,y,NA,ETM+,Sval1,,,
25/05/2000,y,NA,ETM+,Sval3,,,
25/05/2000,y,NA,ETM+,Sval6,,,
25/05/2000,y,NA,ETM+,Sval7,,,
25/05/2000,y,NA,ETM+,Sval8,,,
25/05/2000,y,NA,ETM+,Sval9,,,
01/06/2000,y,NA,ETM+,As,,,
01/06/2000,y,NA,ETM+,Reveg,,,
01/06/2000,y,NA,ETM+,Sval1,,,
01/06/2000,y,NA,ETM+,Sval3,,,
01/06/2000,y,NA,ETM+,Sval6,,,
01/06/2000,y,NA,ETM+,Sval7,,,
01/06/2000,y,NA,ETM+,Sval8,,,
01/06/2000,y,NA,ETM+,Sval9,,,
03/06/2000,y,0.434,ETM+,As,,,
03/06/2000,y,0.387,ETM+,Gs1,,,
03/06/2000,y,0.363,ETM+,Gs2,,,
03/06/2000,y,0.403,ETM+,Gs3,,,
03/06/2000,y,0.364,ETM+,Gs4,,,
03/06/2000,y,0.361,ETM+,Reveg,,,
03/06/2000,y,0.372,ETM+,Sval1,,,
03/06/2000,y,0.372,ETM+,Sval3,,,
03/06/2000,y,0.314,ETM+,Sval6,,,
